s_id,title,duration,tempo,a_id
SORDVCC12B20E5E501,Not A Second Time,128.33914,125.355,1
SOAASCF12B20E5E432,Till There Was you,136.75057,122.315,1
SOHPPTW12B20E5E4AE,Devil In Her Heart,147.66975,121.079,1
SOPMVRB12B20E5E4B6,All I've Got To Do,124.55138,119.377,1
SOXXWYU12B20E5E508,ALL MY LOVING,129.56689,159.159,1
SOCLCPF12B20E5E434,Please Mr. Postman,156.73424,122.603,1
SONAJUL12B20E5E546,Roll Over Beethoven,167.6273,161.577,1
SOSAPOV12B20E5E446,Little Child,108.01587,151.536,1
SODGFRB12B20E5E41F,Don't Bother Me,149.39383,170.941,1
SOCVTLB12B20E5E43A,Hold Me Tight,152.58077,135.883,1
SORWODP12B20E5E411,Money,167.44444,85.989,1
SOMEYCG12B20E5E49A,You've Really Got A Hold On Me,182.90893,115.49,1
SOPJDHP12B20E5E44C,It Won't Be Long,133.74649,133.523,1
SOVAGAC12B20E5E409,I Wanna Be Your Man,118.9873,99.144,1
SOZZWBN12B20E5E4DF,Maggie Mae,40.59955,170.897,2
SOBCYLD12B20E5E46A,The Long and Winding Road,217.86621,68.42,2
SOPFADM12B20E5E4A8,Two of Us,216.66621,109.732,2
SONNIAZ12B20E5E488,Dig a Pony,234.79955,118.332,2
SOOLSES12B20E5E4C2,I Me Mine,145.73288,86.895,2
SOMJDBF12B20E5E459,One After 909,175.50621,182.373,2
SOVOTNQ12B20E5E466,Across the Universe,228.55955,76.376,2
SOEDKGZ12B20E5E54C,I've Got a Feeling,217.95955,83.2,2
SOHPNTL12B20E5E548,For You Blue,152.73288,128.685,2
SOOHYEX12B20E5E479,Get Back,187.09288,123.315,2
SOMPEBH12B20E5E540,Dig It,49.99955,104.178,2
SOFRCKG12B20E5E419,Let It Be,243.30621,138.636,2
SONHNAF12B20E5E41B,Rock and Roll Music,153.75628,167.271,3
SOGTAVX12B20E5E4FD,"Medley a Kansas City B Hey, He",153.46893,131.585,3
SONQEEW12C0DD038F5,Baby's In Black,127.58159,100.89,3
SOACWEN12B20E5E4BB,No Reply,137.84771,124.661,3
SOGKVWS12B20E5E426,I Don't Want to Spoil the Part,156.18567,97.517,3
SOJTNTT12B20E5E413,Every Little Thing,124.55138,123.223,3
SOIGKKJ12B20E5E4A5,Words of Love,134.73914,122.436,3
SOAHQKC12B20E5E42F,What You're Doing,154.69669,129.629,3
SOTJGPG12B20E5E472,Everybody's Trying to Be My Ba,143.75138,170.189,3
SOREIYQ12B20E5E471,I'm a Loser,153.52118,179.871,3
SOLGQBT12B20E5E457,Honey Don't,179.61751,163.822,3
SOPGATV12B20E5E534,Eight Days a Week,165.43302,139.41,3
SOGKXDB12B20E5E41A,Mr. Moonlight,157.20444,126.208,3
SOCVQEB12B20E5E424,I'll Follow the Sun,111.04608,133.367,3
SOFOOJM12B20E5E502,I Want You - She's So Heavy,467.17342,115.249,4
SODKXZF12B20E5E4BF,ABBEY ROAD MEDLEY (Full),117.73342,161.717,4
SOURDWR12B20E5E4EB,Abbey Road Medley,91.58485,80.986,4
SOECKCO12B3A13A74B,MAXWELL'S SILVER HAMMER,207.28118,131.49,4
SODKXZF12B20E5E4BF,You Never Give Me Your Money,242.41587,88.017,4
SOYHJCZ12B20E5E55A,COME TOGETHER,260.64934,83.197,4
SODKXZF12B20E5E4BF,ABBEY ROAD MEDLEY (Full),96.88771,84.415,4
SODKXZF12B20E5E4BF,ABBEY ROAD MEDLEY (Full),146.31138,64.797,4
SODKXZF12B20E5E4BF,ABBEY ROAD MEDLEY (Full),23.14404,100.394,4
SOJXZQA12B20E5E4F7,Mean Mr Mustard,66.29832,100.524,4
SOURDWR12B20E5E4EB,Abbey Road Medley,139.83302,123.746,4
SODKXZF12B20E5E4BF,ABBEY ROAD MEDLEY (Full),72.75057,166.874,4
SOXBVAA12B20E5E43B,OCTOPUS'S GARDEN,171.17995,184.314,4
SOJIOGY12B20E5E511,SOMETHING,183.01342,132.102,4
SODWAVD12B20E5E431,BECAUSE,165.53751,160.517,4
SOEHHUI12B20E5E49E,Oh Darling,206.70649,86.467,4
SOCMAAD12B20E5E4D5,Here Comes the Sun,185.57342,129.33,4
SOMTNQA12B20E5E52B,I've Just Seen a Face,127.18975,120.63,5
SOXHBHS12B20E5E469,Tell Me What You See,159.7122,136.702,5
SOSVBUZ12B20E5E417,You Like Me Too Much,158.82404,176.83,5
SOOVESA12B3A13A74F,ANOTHER GIRL,128.02567,88.589,5
SOVWIKD12B20E5E47B,You've Got to Hide Your Love Away,131.44771,92.235,5
SONEMCN12B20E5E42D,I Need You,151.50975,136.357,5
SOINKRY12B20E5E547,Dizzy Miss Lizzie,174.15791,136.436,5
SOIRGCC12B3A13A750,ACT NATURALLY,153.18159,185.83,5
SONRLMG12B20E5E45A,The Night Before,156.70812,169.946,5
SOZSDBG12B20E5E54A,Help,141.08689,94.796,5
SOUHGYP12B20E5E449,Ticket to Ride,192.49587,123.654,5
SOXQQRH12B20E5E4E9,IT'S ONLY LOVE,118.80444,113.076,5
SOCKBTE12B20E5E4E3,Yesterday,127.45098,92.409,5
SONNQPW12B20E5E45C,You're Going to Lose That Girl,140.45995,131.923,5
SOHYWBL12B20E5E4E4,Blackbird,138.29179,93.942,6
SOGVSLV12B20E5E523,Happiness Is a Warm Gun,163.47383,139.611,6
SOYWQFD12B20E5E49C,Julia,174.07955,57.186,6
SOXQLYJ12B20E5E4F4,I'm So Tired,123.32363,144.066,6
SOUIZKE12B20E5E40D,While My Guitar Gently Weeps,285.30893,115.733,6
SOAZWHB12B20E5E42A,I Will,106.03057,103.079,6
SOTFWVW12B20E5E4D4,Glass Onion,137.97832,120.787,6
SOHLNZK12B20E5E406,Wild Honey Pie,52.92363,89.921,6
SOQDTWO12B20E5E42E,Why Dont We Do It In The Road-,101.45914,94.367,6
SOHLNZK12B20E5E406,THE CONTINUING STORY OF BUNGALOW BILL (CONTENT!),194.08934,115.031,6
SOVHEGG12B20E5E482,Don't Pass Me By,230.42567,84.975,6
SOSMVLQ12B20E5E46E,Martha My Dear,148.74077,89.128,6
SOXSZRX12B20E5E541,Piggies,124.3424,92.899,6
SOTHVZK12B20E5E45E,Dear Prudence,236.38159,150.537,6
SOKSLTC12B20E5E481,"Ob-La-Di, Ob-La-Da",188.83873,113.227,6
SOMFMWY12B20E5E4EA,Rocky Raccoon,212.89751,159.754,6
SOJPDPC12B20E5E478,Back In The U.S.S.R.,163.3171,142.472,6
SOGTICQ12B20E5E405,Drive My Car,150.282,122.525,7
SOJUUCJ12B20E5E50C,Girl,153.88689,96.752,7
SOXMBBZ12B20E5E4D8,I'm Looking Through You,147.82649,85.782,7
SOYQZAU12B20E5E4EC,The Word,163.70893,121.01,7
SOEDVBB12B20E5E515,Run for Your Life,138.68363,88.436,7
SODGOYK12B20E5E50D,IF I NEEDED SOMEONE,143.85587,127.54,7
SOBXXUF12C0DDBEAF0,What Goes On,170.81424,194.004,7
SOXDTTW12B20E5E516,You Won't See Me,202.60526,115.745,7
SOYNAGA12B20E5E412,Michelle,162.37669,112.964,7
SOVHMFY12C0DDBDCDB,Nowhere Man,164.30975,121.043,7
SONOFID12B20E5E51F,WAIT,136.98567,85.109,7
SOFROAI12B20E5E4ED,Norwegian Wood (This Bird Has Flo,125.43955,89.025,7
SOCEJRR12B20E5E4F5,Think for Yourself,139.33669,130.278,7
SOIZJXL12B20E5E51A,In My Life,147.98322,103.196,7
SOEHCBU12B20E5E4CD,BABY YOU'RE A RICH MAN,183.77098,97.077,8
SOAXLBX12B20E5E49B,Blue Jay Way,236.72118,103.123,8
SOJKUWV12B20E5E513,Flying,136.98567,92.92,8
SOGKTSR12B20E5E52A,ALL YOU NEED IS LOVE,228.30975,111.337,8
SOIAYRJ12B20E5E559,Penny Lane,183.37914,113.656,8
SORJUWQ12B20E5E485,Magical Mystery Tour,171.83302,85.005,8
SOUXCPK12B20E5E47C,Your Mother Should Know,149.60281,117.832,8
SOBAUFK12B0B8079D4,Strawberry Fields Forever,250.51383,98.82,8
SOTKWEM12B20E5E51C,THE FOOL ON THE HILL,180.1922,144.722,8
SOGSSSX12B20E5E4B5,I AM THE WALRUS,277.08036,86.694,8
SOMXSIV12B20E5E44D,Hello Goodbye,211.48689,99.711,8
SOMALOB12B20E5E4DE,Getting Better,167.88853,122.085,9
SOLNBXF12B20E5E4CF,Good Morning Good Morning,161.33179,121.338,9
SORKKSQ12B20E5E40B,When I'm Sixty-Four,157.72689,140.844,9
SOUKORE12B20E5E494,LUCY IN THE SKY WITH DIAMONDS,208.45669,95.367,9
SOZKGGJ12B20E5E48E,Within You Without You,305.08363,126.366,9
SOSBJJT12B20E5E556,She's Leaving Home,215.06567,64.674,9
SOAPCKQ12B20E5E4C0,Being For The Benefit Of Mr. Kite!,157.09995,108.18,9
SOANHGJ12B20E5E47F,LOVELY RITA,162.11546,88.132,9
SODGAFI12B20E5E420,With A Little Help From My Friends,164.0224,112.221,9
SOMGVPZ12B20E5E4C4,A Day In The Life,333.7922,79.866,9
SOJYIFI12B20E5E44F,Sgt. Pepper's Lonely Hearts Club Band (Reprise),78.91546,118.862,9
SOEXMFF12B20E5E50A,Sgt. Pepper's Lonely Hearts Club Band,122.43546,95.471,9
SOBBBSX12B20E5E50E,Fixing A Hole,156.62975,118.915,9
SOHONBJ12B20E5E53F,Can t Buy Me Love,134.94812,171.766,10
SOMHBOH12B20E5E442,If I Fell,142.05342,108.591,10
SOVQQZA12B20E5E53E,When I Get Home,138.37016,125.837,10
SOAAMFV12B20E5E44B,You Can't Do That,157.64853,128.723,10
SOAGCPH12B20E5E53C,Things We Said Today,158.85016,137.688,10
SOVNGVQ12B20E5E532,Tell Me Why,130.08934,49.696,10
SOKWQEG12B20E5E4B8,I ll Be Back,140.43383,124.156,10
SOGHOPB12B20E5E435,And I Love Her,151.09179,113.726,10
SOYDQDK12B20E5E496,Any Time At All,133.40689,141.428,10
SOVITMS12B20E5E550,I ll Cry Instead,107.75465,96.714,10
SOHQYME12B20E5E476,A Hard Day s Night,152.55465,92.245,10
SOLNDRO12B20E5E4F6,I'm Happy Just To Dance With You (Mono),118.69995,88.156,10
SOLVJWV12B20E5E455,I SHOULD HAVE KNOWN BETTER,164.10077,130.814,10
SOGAUDQ12B20E5E4B9,I'm Only Sleeping,181.68118,104.349,11
SOLSUML12B20E5E4A9,Doctor Robert,135.20934,163.93,11
SOAKFJL12B20E5E495,THERE AND EVERYWHERE,145.8673,82.82,11
SORWIGF12B20E5E415,I Want to Tell You,149.89016,128.001,11
SOQRSUS12B20E5E52C,Eleanor Rigby,127.68608,137.878,11
SOTAYIE12B20E5E436,Good Day Sunshine,129.77587,116.822,11
SOPTNHO12B20E5E504,Taxman,159.00689,133.024,11
SOUQJEN12B20E5E454,Tomorrow Never Knows,177.26649,126.416,11
SOLMZJB12B20E5E4C5,Got to Get You Into My Life,150.64771,137.126,11
SOMYSHO12B20E5E414,Yellow Submarine,160.41751,111.581,11
SOLQAUB12B20E5E4FB,And Your Bird Can Sing,121.75628,132.933,11
SOBRCDM12B20E5E443,For No One,121.73016,81.903,11
SOMWUUY12B20E5E4F3,She Said She Said,157.1522,106.361,11
SOAGOMZ12B20E5E4E5,Love You To,181.21098,125.783,11
SOOCBHL12B20E5E416,P.S. I Love You,125.75302,134.326,12
SOZWNGT12B20E5E48B,Love Me Do,142.75873,147.862,12
SOMRCCD12B20E5E41D,A Taste Of Honey,125.1522,99.691,12
SOOVVAN12B20E5E4EF,Ask Me Why,147.77424,89.533,12
SOGKHTR12B20E5E4FF,Boys,147.51302,142.458,12
SOIECCX12B20E5E536,Chains,146.49424,129.905,12
SOYUKLO12B20E5E521,Anna (Go To Him),177.57995,109.577,12
SOLUXYC12B20E5E4F1,Do You Want To Know A Secret,119.35302,124.45,12
SORLWNM12B20E5E539,Please Please Me,123.37587,138.727,12
SOFJGFM12B20E5E497,I Saw Her Standing There,175.80363,160.35,12
SOBDFTR12B20E5E493,Misery,110.18404,133.215,12
SORHZNC12B20E5E530,Baby It's You,158.06649,112.496,12
SOXELFI12B20E5E41C,There's A Place,112.87465,141.448,12
SOPRDVX12B0B807DD0,Twist and Shout,153.15546,125.124,12
